text,label,psychological_trigger
"The CISO of Axis Bank has issued a high-priority alert regarding a potential security threat, all employees are required to change their login credentials by visiting axis-employee-portal.in/password-reset.",scam,Authority Impersonation
CRED users are requested to confirm their account details by visiting cred-verification.in/confirm to ensure uninterrupted services and to avoid any account restrictions.,scam,Authority Impersonation
"Your HDFC salary account has been temporarily frozen due to a failed NACH mandate verification, please visit secure-hdfc-login.in/verify to reactivate your account and avoid any further deductions.",scam,Fear of Financial Loss
"According to our records, your PhonePe wallet has been compromised, and INR 10,000 has been deducted without authorization, click on this link https://phonepe-secure.in/reset to secure your account and prevent further losses.",scam,Fear of Financial Loss
"We have detected suspicious activity on your ICICI bank account, and your savings account will be blocked if you do not verify your PAN details at https://icici-secure.in/validate immediately.",scam,Fear of Financial Loss
"Your Axis bank credit card has been locked due to a potential security threat, please call our dedicated customer care number 1800-103-4343 to unlock your card and avoid any late payment fees.",scam,Fear of Financial Loss
"Your Paytm account has been restricted due to non-compliance with the latest KYC norms, please update your Aadhaar details at https://paytm-kyc.in/update to lift the restrictions and continue using our services.",scam,Fear of Financial Loss
"A recent audit has revealed discrepancies in your CRED credit score, and your credit limit will be reduced if you do not verify your ITR filings at https://cred-secure.in/validate within the next 48 hours.",scam,Fear of Financial Loss
"Your GPay account has been flagged for a potential UPI ID mismatch, and all transactions will be suspended until you verify your account details at https://gpay-secure.in/resolve.",scam,Fear of Financial Loss
"Our system has detected multiple failed login attempts on your Kotak bank account, and your account will be temporarily suspended unless you reset your password at https://kotak-secure.in/reset.",scam,Fear of Financial Loss
"Your Zepto account has been compromised, and your recent transactions have been flagged as suspicious, please visit https://zepto-secure.in/secure to validate your account and prevent further unauthorized transactions.",scam,Fear of Financial Loss
"According to our records, your HDFC bank account is due for mandatory re-verification, and all services will be discontinued if you do not complete the verification process at https://hdfc-secure.in/verify within the next 24 hours.",scam,Fear of Financial Loss
"Dear valued customer, we are excited to offer you an exclusive 10% cashback on your next transaction with HDFC Bank, valid for the next 48 hours only, please click on secure-hdfc-login.in/reward to avail this limited time offer.",scam,Reward / FOMO
"Your PhonePe account has been selected for a special UPI bonus of INR 500, to claim this reward please verify your account details at phonepe-verified.in/bonus within the next 24 hours.",scam,Reward / FOMO
"As a preferred customer of ICICI Bank, you are eligible for a limited time interest rate of 8.5% on your fixed deposits, to avail this offer please call our dedicated hotline at 1800-ICICI-24 or visit icici-exclusive.in/fd.",scam,Reward / FOMO
"Congratulations, you have been allotted 100 shares of the latest IPO, to confirm your allotment and claim your shares please visit axis-ipo-allotment.in/confirm within the next 48 hours.",scam,Reward / FOMO
"Dear CRED user, we are offering an exclusive 5% cashback on all bill payments made through our platform, to activate this reward please click on cred-reward.in/activate and complete the verification process.",scam,Reward / FOMO
"Your Kotak Bank account has been selected for a special reward of INR 1000, to claim this reward please verify your PAN and Aadhaar details at kotak-reward.in/verify within the next 24 hours.",scam,Reward / FOMO
"You are eligible for a limited time UPI bonus of INR 200 on your Zepto account, to claim this reward please visit zepto-bonus.in/rewards and complete the verification process within the next 48 hours.",scam,Reward / FOMO
"Dear Paytm user, we are offering an exclusive cashback of 15% on all transactions made through our platform, to activate this reward please click on paytm-cashback.in/activate and complete the verification process.",scam,Reward / FOMO
"As a valued customer of HDFC Bank, you are eligible for a special NACH mandate offer, to avail this offer please visit hdfc-nach.in/offer and activate your mandate within the next 24 hours.",scam,Reward / FOMO
"Your ITR filing has been selected for a special reward of INR 500, to claim this reward please verify your account details at incometax-reward.in/verify and complete the verification process within the next 48 hours.",scam,Reward / FOMO
"As part of our ongoing security audit, the IT team at HDFC Bank requires all employees to verify their login credentials at https://secure-hdfc-login.in/verify to ensure compliance with new regulatory standards.",scam,Vendor / Insider Trust
"Dear team, this is an urgent notice from the internal audit department regarding a pending payment of INR 50,000 to one of our vendors, please approve the transaction by calling 1800-123-4456 to avoid any delays.",scam,Vendor / Insider Trust
"We have initiated a new UPI ID for all employee reimbursements, kindly update your UPI ID at https://phonepe-employee-dashboard.in to receive your pending amount of INR 20,000.",scam,Vendor / Insider Trust
"The IT department at ICICI Bank has scheduled a mandatory software update for all employees, please click on https://icici-software-update.in to download and install the latest version to avoid any disruptions.",scam,Vendor / Insider Trust
"AXIS Bank is introducing a new NACH mandate for all salary accounts, to activate this feature, please visit https://axis-nach-activation.in and follow the instructions carefully.",scam,Vendor / Insider Trust
"Our trusted vendor, CRED, requires all employees to update their PAN details at https://cred-pan-verification.in to continue using their services seamlessly.",scam,Vendor / Insider Trust
Kotak Mahindra Bank employees are requested to verify their Aadhaar linking status at https://kotak-aadhaar-verification.in to ensure uninterrupted access to their accounts.,scam,Vendor / Insider Trust
"The audit team at HDFC Bank requires all employees to confirm their ITR filing status for the current financial year, please respond to this email or call 1800-456-7890 for assistance.",scam,Vendor / Insider Trust
"PhonePe is implementing a new authentication protocol for all its users, including employees of partner banks, please update your authentication details at https://phonepe-auth-update.in to avoid any login issues.",scam,Vendor / Insider Trust
"Zepto, our official vendor for employee benefits, requires all eligible employees to update their UPI IDs at https://zepto-employee-benefits.in to receive their pending benefits amount of INR 15,000.",scam,Vendor / Insider Trust
